Image_ID,Question_Type,Question,Ground_Truth,BAN_Prediction,BLIP2_Prediction,BAN_Correct,BLIP2_Correct
xmlab0/source.jpg,OPEN,What modality is used to take this image?,MRI,MRI,MRI,True,True
xmlab0/source.jpg,OPEN,Which part of the body does this image belong to?,Abdomen,Abdomen,Abdomen,True,True
xmlab0/source.jpg,OPEN,What is the mr weighting in this image?,T2,T2,T2,True,True
xmlab0/source.jpg,CLOSED,Are there abnormalities in this image?,No,No,No,True,True
xmlab0/source.jpg,OPEN,What is the largest organ in the picture?,Liver,Liver,Liver,True,True
xmlab0/source.jpg,CLOSED,Does the picture contain liver?,Yes,Yes,Yes,True,True
xmlab0/source.jpg,CLOSED,Does the picture contain kidney?,Yes,No,No,False,False
xmlab0/source.jpg,CLOSED,Does the picture contain spleen?,Yes,Yes,Yes,True,True
xmlab0/source.jpg,OPEN,What diseases are included in the picture?,None,"Brain Edema, Brain Enhancing Tumor, Brain Non-enhancing Tumor",None,False,True
xmlab0/source.jpg,OPEN,Where is the liver?,Right,Left,Left,False,False
xmlab10/source.jpg,OPEN,What modality is used to take this image?,MRI,MRI,MRI,True,True
xmlab10/source.jpg,OPEN,Which part of the body does this image belong to?,Abdomen,Abdomen,Abdomen,True,True
xmlab10/source.jpg,OPEN,What is the mr weighting in this image?,T2,T2,T2,True,True
xmlab10/source.jpg,OPEN,How many kidneys in this image?,2,2,2,True,True
xmlab10/source.jpg,CLOSED,Are/Is the kidney normal in this image?,Yes,Yes,No,True,False
xmlab10/source.jpg,CLOSED,Does the picture contain liver?,Yes,Yes,Yes,True,True
xmlab10/source.jpg,CLOSED,Does the picture contain kidney?,Yes,Yes,Yes,True,True
xmlab10/source.jpg,CLOSED,Does the picture contain spleen?,No,No,No,True,True
xmlab106/source.jpg,OPEN,What modality is used to take this image?,CT,CT,CT,True,True
xmlab106/source.jpg,OPEN,Which part of the body does this image belong to?,Chest,Chest,Chest,True,True
xmlab106/source.jpg,OPEN,What is the main organ in the image?,Lung,Lung,Lung,True,True
xmlab106/source.jpg,OPEN,What is the largest organ in the picture?,Lung,Lung,Lung,True,True
xmlab106/source.jpg,CLOSED,Does the picture contain liver?,No,No,No,True,True
xmlab106/source.jpg,CLOSED,Does the picture contain lung?,Yes,Yes,Yes,True,True
xmlab106/source.jpg,CLOSED,Does the picture contain heart?,No,Yes,No,False,True
xmlab106/source.jpg,OPEN,What diseases are included in the picture?,Lung Cancer,Lung Cancer,Lung Cancer,True,True
xmlab106/source.jpg,CLOSED,Is the lung healthy?,No,No,No,True,True
xmlab106/source.jpg,OPEN,Where is/are the abnormality located?,"Right Lung, Left","Right Lung, Left","Right Lung, Left",True,True
xmlab112/source.jpg,OPEN,What modality is used to take this image?,CT,CT,CT,True,True
xmlab112/source.jpg,OPEN,Which part of the body does this image belong to?,Chest,Chest,Chest,True,True
xmlab112/source.jpg,OPEN,What is the main organ in the image?,Lung,Lung,Lung,True,True
xmlab112/source.jpg,OPEN,What is the largest organ in the picture?,Lung,Lung,Lung,True,True
xmlab112/source.jpg,CLOSED,Does the picture contain liver?,No,No,No,True,True
xmlab112/source.jpg,CLOSED,Does the picture contain lung?,Yes,Yes,Yes,True,True
xmlab112/source.jpg,OPEN,What diseases are included in the picture?,Lung Cancer,Lung Cancer,Lung Cancer,True,True
xmlab112/source.jpg,CLOSED,Is the lung healthy?,No,No,No,True,True
xmlab112/source.jpg,OPEN,Where is/are the abnormality located?,"Right Lung, Lower Left","Right Lung, Left","Right Lung, Left",False,False
xmlab112/source.jpg,CLOSED,"Which is the biggest in this image,lung,liver or heart?",Lung,Lung,Lung,True,True
xmlab119/source.jpg,OPEN,What modality is used to take this image?,CT,CT,CT,True,True
xmlab119/source.jpg,OPEN,Which part of the body does this image belong to?,Chest,Chest,Chest,True,True
xmlab119/source.jpg,OPEN,What is the main organ in the image?,Lung,Lung,Lung,True,True
xmlab119/source.jpg,OPEN,What is the largest organ in the picture?,Lung,Lung,Lung,True,True
xmlab119/source.jpg,CLOSED,Does the picture contain liver?,No,No,No,True,True
xmlab119/source.jpg,CLOSED,Does the picture contain lung?,Yes,Yes,Yes,True,True
xmlab119/source.jpg,OPEN,What diseases are included in the picture?,Lung Cancer,Lung Cancer,Lung Cancer,True,True
xmlab119/source.jpg,CLOSED,Does the lung look healthy?,No,No,No,True,True
xmlab119/source.jpg,OPEN,Where is/are the abnormality located?,"Right Lung, Upper Left","Right Lung, Left","Right Lung, Left",False,False
xmlab119/source.jpg,CLOSED,"Which is the biggest in this image,lung,liver or heart?",Lung,Lung,Lung,True,True
xmlab121/source.jpg,OPEN,What modality is used to take this image?,X-Ray,X-Ray,X-Ray,True,True
xmlab121/source.jpg,OPEN,Which part of the body does this image belong to?,Chest,Chest,Chest,True,True
xmlab121/source.jpg,CLOSED,Are there abnormalities in this image?,Yes,Yes,Yes,True,True
xmlab121/source.jpg,OPEN,What is the largest organ in the picture?,Lung,Lung,Lung,True,True
xmlab121/source.jpg,OPEN,What diseases are included in the picture?,Atelectasis,Cardiomegaly,Cardiomegaly,False,False
xmlab121/source.jpg,OPEN,Where is/are the abnormality located?,"Left Lung, Lower Right",Center,Heart,False,False
xmlab121/source.jpg,CLOSED,Is the lung healthy?,No,No,No,True,True
xmlab127/source.jpg,OPEN,What modality is used to take this image?,X-Ray,X-Ray,X-Ray,True,True
xmlab127/source.jpg,OPEN,Which part of the body does this image belong to?,Chest,Chest,Chest,True,True
xmlab127/source.jpg,CLOSED,Are there abnormalities in this image?,Yes,Yes,Yes,True,True
xmlab127/source.jpg,OPEN,What is the largest organ in the picture?,Lung,Lung,Lung,True,True
xmlab127/source.jpg,OPEN,What diseases are included in the picture?,Atelectasis,Pneumothorax,Atelectasis,False,True
xmlab127/source.jpg,OPEN,Where is/are the abnormality located?,"Left Lung, Lower Right","Left Lung, Right","Left Lung, Right",False,False
xmlab127/source.jpg,CLOSED,Does the lung look unhealthy?,Yes,Yes,No,True,False
xmlab128/source.jpg,OPEN,What modality is used to take this image?,X-Ray,X-Ray,X-Ray,True,True
xmlab128/source.jpg,OPEN,Which part of the body does this image belong to?,Chest,Chest,Chest,True,True
xmlab128/source.jpg,OPEN,What is the largest organ in the picture?,Lung,Lung,Lung,True,True
xmlab128/source.jpg,OPEN,What diseases are included in the picture?,Atelectasis,Pneumothorax,Pneumothorax,False,False
xmlab128/source.jpg,OPEN,Where is/are the abnormality located?,"Left Lung, Right","Left Lung, Right","Left Lung, Right",True,True
xmlab128/source.jpg,CLOSED,Are there abnormalities in this image?,Yes,Yes,Yes,True,True
xmlab128/source.jpg,CLOSED,Does the lung look unhealthy?,Yes,Yes,Yes,True,True
xmlab129/source.jpg,OPEN,What modality is used to take this image?,X-Ray,X-Ray,X-Ray,True,True
xmlab129/source.jpg,OPEN,Which part of the body does this image belong to?,Chest,Chest,Chest,True,True
xmlab129/source.jpg,CLOSED,Are there abnormalities in this image?,Yes,Yes,Yes,True,True
xmlab129/source.jpg,OPEN,What is the largest organ in the picture?,Lung,Lung,Lung,True,True
xmlab129/source.jpg,OPEN,What diseases are included in the picture?,Atelectasis,Pneumonia,Pneumothorax,False,False
xmlab129/source.jpg,OPEN,Where is/are the abnormality located?,"Right Lung, Lower Left","Left Lung, Right","Right Lung, Left",False,False
xmlab129/source.jpg,CLOSED,Is the lung healthy?,No,No,No,True,True
xmlab139/source.jpg,OPEN,What modality is used to take this image?,X-Ray,X-Ray,X-Ray,True,True
xmlab139/source.jpg,OPEN,Which part of the body does this image belong to?,Chest,Chest,Chest,True,True
xmlab139/source.jpg,OPEN,What is the largest organ in the picture?,Lung,Lung,Lung,True,True
xmlab139/source.jpg,OPEN,What diseases are included in the picture?,Mass,Pneumothorax,Pneumothorax,False,False
xmlab139/source.jpg,OPEN,Where is/are the abnormality located?,"Right Lung, Lower Left","Left Lung, Right","Left Lung, Right",False,False
xmlab139/source.jpg,CLOSED,Are there abnormalities in this image?,Yes,Yes,Yes,True,True
xmlab139/source.jpg,CLOSED,Does the lung look healthy?,No,No,No,True,True
xmlab139/source.jpg,CLOSED,"Which organ is abnormal, heart or lung?",Lung,Lung,Lung,True,True
xmlab164/source.jpg,OPEN,What modality is used to take this image?,X-Ray,X-Ray,X-Ray,True,True
xmlab164/source.jpg,OPEN,Which part of the body does this image belong to?,Chest,Chest,Chest,True,True
xmlab164/source.jpg,CLOSED,Does this image look abnormal?,Yes,Yes,Yes,True,True
xmlab164/source.jpg,OPEN,What is the largest organ in the picture?,Lung,Lung,Lung,True,True
xmlab164/source.jpg,OPEN,What diseases are included in the picture?,Cardiomegaly,Pneumothorax,Pneumothorax,False,False
xmlab164/source.jpg,OPEN,Where is/are the abnormality located?,Center,"Right Lung, Left","Left Lung, Right",False,False
xmlab164/source.jpg,CLOSED,"Which organ is abnormal, heart or lung?",Heart,Lung,Lung,False,False
xmlab170/source.jpg,OPEN,What modality is used to take this image?,X-Ray,X-Ray,X-Ray,True,True
xmlab170/source.jpg,OPEN,Which part of the body does this image belong to?,Chest,Chest,Chest,True,True
xmlab170/source.jpg,CLOSED,Does this image look abnormal?,Yes,Yes,Yes,True,True
xmlab170/source.jpg,OPEN,What is the largest organ in the picture?,Lung,Lung,Lung,True,True
xmlab170/source.jpg,OPEN,What diseases are included in the picture?,Nodule,Pneumothorax,Pneumonia,False,False
xmlab170/source.jpg,OPEN,Where is/are the abnormality located?,"Right Lung, Left","Left Lung, Right","Left Lung, Right",False,False
xmlab170/source.jpg,CLOSED,Is the lung healthy?,No,No,No,True,True
xmlab170/source.jpg,CLOSED,Are there abnormalities in this image?,Yes,Yes,Yes,True,True
xmlab170/source.jpg,CLOSED,"Which organ is abnormal, heart or lung?",Lung,Lung,Lung,True,True
xmlab191/source.jpg,OPEN,What modality is used to take this image?,X-Ray,X-Ray,X-Ray,True,True
xmlab191/source.jpg,OPEN,Which part of the body does this image belong to?,Chest,Chest,Chest,True,True
xmlab191/source.jpg,CLOSED,Does this image look abnormal?,Yes,Yes,Yes,True,True
xmlab191/source.jpg,OPEN,What is the largest organ in the picture?,Lung,Lung,Lung,True,True
xmlab191/source.jpg,OPEN,What diseases are included in the picture?,Cardiomegaly,Pneumonia,Pneumonia,False,False
xmlab191/source.jpg,OPEN,Where is/are the abnormality located?,Center,"Left Lung, Right","Left Lung, Right",False,False
xmlab191/source.jpg,CLOSED,Are there abnormalities in this image?,Yes,Yes,Yes,True,True
xmlab191/source.jpg,CLOSED,"Which organ is abnormal, heart or lung?",Heart,Lung,Lung,False,False
xmlab196/source.jpg,OPEN,What modality is used to take this image?,X-Ray,X-Ray,X-Ray,True,True
xmlab196/source.jpg,OPEN,Which part of the body does this image belong to?,Chest,Chest,Chest,True,True
xmlab196/source.jpg,CLOSED,Does this image look abnormal?,Yes,Yes,Yes,True,True
xmlab196/source.jpg,OPEN,What is the largest organ in the picture?,Lung,Lung,Lung,True,True
xmlab196/source.jpg,OPEN,What diseases are included in the picture?,Cardiomegaly,Cardiomegaly,Cardiomegaly,True,True
xmlab196/source.jpg,OPEN,Where is/are the abnormality located?,Center,Center,Heart,True,False
xmlab196/source.jpg,CLOSED,Are there abnormalities in this image?,Yes,Yes,Yes,True,True
xmlab196/source.jpg,CLOSED,"Which organ is abnormal, heart or lung?",Heart,Heart,Heart,True,True
xmlab207/source.jpg,OPEN,What modality is used to take this image?,CT,CT,CT,True,True
xmlab207/source.jpg,OPEN,Which part of the body does this image belong to?,Abdomen,Abdomen,Abdomen,True,True
xmlab207/source.jpg,CLOSED,Does the picture contain liver?,Yes,Yes,No,True,False
xmlab207/source.jpg,CLOSED,Does the picture contain kidney?,Yes,Yes,Yes,True,True
xmlab207/source.jpg,CLOSED,Does the picture contain spleen?,No,No,No,True,True
xmlab207/source.jpg,CLOSED,Does the picture contain lung?,No,No,No,True,True
xmlab207/source.jpg,CLOSED,Does the picture contain heart?,No,No,No,True,True
xmlab207/source.jpg,OPEN,Where is the liver?,Left,Left,Left,True,True
xmlab207/source.jpg,OPEN,How many kidneys in this image?,2,2,2,True,True
xmlab207/source.jpg,CLOSED,"Which is bigger in this image, kidney or liver?",Kidney,Kidney,Kidney,True,True
xmlab207/source.jpg,OPEN,What is the organ located in the lower right corner of the body in this image?,Left Kidney,Left Kidney,Left Kidney,True,True
xmlab207/source.jpg,OPEN,What is the organ on the left side of this image?,Liver,Liver,Liver,True,True
xmlab207/source.jpg,OPEN,What is the scanning plane of this image?,Transverse  Plane,Transverse  Plane,Transverse  Plane,True,True
xmlab21/source.jpg,OPEN,What modality is used to take this image?,MRI,MRI,MRI,True,True
xmlab21/source.jpg,OPEN,Which part of the body does this image belong to?,Abdomen,Abdomen,Abdomen,True,True
xmlab21/source.jpg,OPEN,What is the mr weighting in this image?,T2,T2,T2,True,True
xmlab21/source.jpg,OPEN,How many kidneys are there in this image?,2,2,2,True,True
xmlab21/source.jpg,CLOSED,"Which is bigger, left kidney or spleen ?",Left Kidney,Spleen,Liver,False,False
xmlab21/source.jpg,CLOSED,Does the picture contain liver?,Yes,Yes,Yes,True,True
xmlab21/source.jpg,CLOSED,Does the picture contain kidney?,Yes,Yes,Yes,True,True
xmlab21/source.jpg,CLOSED,Does the picture contain spleen?,Yes,No,No,False,False
xmlab213/source.jpg,OPEN,What modality is used to take this image?,CT,CT,CT,True,True
xmlab213/source.jpg,OPEN,Which part of the body does this image belong to?,Chest,Abdomen,Chest,False,True
xmlab213/source.jpg,OPEN,How many organs are there in this image?,3,4,4,False,False
xmlab213/source.jpg,OPEN,What is the largest organ in the picture?,Lung,Lung,Lung,True,True
xmlab213/source.jpg,CLOSED,Does the picture contain liver?,No,No,No,True,True
xmlab213/source.jpg,CLOSED,Does the picture contain kidney?,No,No,No,True,True
xmlab213/source.jpg,CLOSED,Does the picture contain spleen?,No,No,No,True,True
xmlab213/source.jpg,CLOSED,Does the picture contain lung?,Yes,Yes,Yes,True,True
xmlab213/source.jpg,CLOSED,Does the picture contain heart?,Yes,Yes,Yes,True,True
xmlab213/source.jpg,OPEN,What is the rightmost organ in this image?,Left Lung,Left Lung,Left Lung,True,True
xmlab213/source.jpg,OPEN,What is the organ on the left side of this image?,Right Lung,Right Lung,Right Lung,True,True
xmlab213/source.jpg,OPEN,What is the organ on the top of the body in this image?,Heart,Heart,Heart,True,True
xmlab213/source.jpg,OPEN,What is the scanning plane of this image?,Transverse  Plane,Transverse  Plane,Transverse  Plane,True,True
xmlab22/source.jpg,OPEN,What modality is used to take this image?,MRI,MRI,MRI,True,True
xmlab22/source.jpg,OPEN,Which part of the body does this image belong to?,Abdomen,Abdomen,Abdomen,True,True
xmlab22/source.jpg,OPEN,What is the mr weighting in this image?,T1,T1,T1,True,True
xmlab22/source.jpg,OPEN,What is the largest organ in the picture?,Liver,Liver,Liver,True,True
xmlab22/source.jpg,CLOSED,Does the picture contain liver?,Yes,Yes,Yes,True,True
xmlab22/source.jpg,CLOSED,Does the picture contain kidney?,No,No,No,True,True
xmlab22/source.jpg,CLOSED,Does the picture contain spleen?,Yes,Yes,Yes,True,True
xmlab22/source.jpg,CLOSED,"Which is bigger, liver or spleen?",Liver,Liver,Liver,True,True
xmlab22/source.jpg,CLOSED,Does the liver look normal?,Yes,Yes,Yes,True,True
xmlab22/source.jpg,CLOSED,Does the spleen look normal?,Yes,Yes,Yes,True,True
xmlab228/source.jpg,OPEN,What modality is used to take this image?,CT,CT,CT,True,True
xmlab228/source.jpg,OPEN,Which part of the body does this image belong to?,Abdomen,Abdomen,Abdomen,True,True
xmlab228/source.jpg,CLOSED,Does the picture contain liver?,Yes,Yes,Yes,True,True
xmlab228/source.jpg,CLOSED,Does the picture contain kidney?,Yes,Yes,Yes,True,True
xmlab228/source.jpg,CLOSED,Does the picture contain spleen?,No,Yes,Yes,False,False
xmlab228/source.jpg,CLOSED,Does the picture contain lung?,No,No,No,True,True
xmlab228/source.jpg,CLOSED,Does the picture contain heart?,No,No,No,True,True
xmlab228/source.jpg,OPEN,Where is the liver?,Left,Left,Left,True,True
xmlab228/source.jpg,OPEN,How many kidneys in this image?,2,2,2,True,True
xmlab228/source.jpg,CLOSED,"Which is bigger in this image, right kidney or liver?",Liver,Liver,Spleen,True,False
